custom_id,season,episode_number,episode_title,air_date,source_notes,has_false_suspect,has_public_exposure,needs_deep_review,summary
lo_s01_e01,1,1,Prescription for Death,,Pilot episode. Father (Vietnam medic) accuses ER doctors of killing his daughter who came in with sore throat.,Y,Y,N,"Suzanne Morton dies in ER after being given meperidine by drunk Dr. Auster, which fatally interacted with her phenelzine (antidepressant). Dr. Ekballa Raza initially suspected but proven innocent when investigation reveals he wrote correct drug (acetaminophen) and falsified chart under pressure. Raza faced public scrutiny and career threats as foreign doctor before being cleared."
lo_s01_e02,1,2,Subterranean Homeboy Blues,,Transcript shows Laura di Biasi shoots two young men on subway after perceived threat. Michael Jones (aka Mosquito Mosket) dies; Darnell Chenault paralyzed. Case revolves around self-defense vs. premeditated revenge.,N,N,N,"Laura di Biasi, a former dancer turned hospital technician, shoots two young men (Darnell Chenault and Michael Jones/Mosket) on a subway after they allegedly threaten her. She claims self-defense; prosecution argues premeditated revenge stemming from a prior subway attack that ended her dance career. Jones/Mosket dies. The case focuses on di Biasi as defendant throughout—no falsely accused innocent parties are identified. Prosecution eventually offers a plea deal when new information about Mosket's criminal history creates reasonable doubt on murder charges. No person in this episode meets the criteria of being publicly accused then proven/strongly implied innocent."
lo_s01_e03,1,3,The Reaper's Helper,,Transcript appears complete with full courtroom scenes and investigation details.,N,N,N,"Jack Curry is arrested and prosecuted for the murder of Bobby Holland, a gay man with AIDS. Curry admits to pulling the trigger but claims it was assisted suicide - that Holland wanted to die rather than suffer from AIDS. The prosecution argues Curry committed murder regardless of Holland's wishes. While Curry was initially suspected of serial murder (similar cases in LA and San Francisco), all three victims had AIDS and evidence suggests Holland may have wanted to die (he trashed his own apartment, paid off debts). However, Holland also had an appointment to discuss AZT treatment, suggesting he wanted to live. Ultimately, the jury acquits Curry of murder/manslaughter but convicts on reckless endangerment (a misdemeanor). No one in this episode is falsely accused and later proven innocent - Curry did pull the trigger on all three victims, the question was whether it constituted murder or assisted suicide."
lo_s01_e04,1,4,Kiss the Girls and Make Them Die,,Full transcript provided,Y,Y,N,"Paige Bartlett is strangled in her apartment. Two men had sexual contact with her that night: Steve Feinstein (ponytail boyfriend who dumped her) and Ned Loomis (ex-boyfriend who was with her later). Feinstein is initially suspected but has a solid alibi. Loomis is convicted of her murder. Steve Feinstein was publicly accused of murder, questioned by detectives multiple times, and labeled a suspect despite his alibi, causing exposure at his workplace and among his social circle before being cleared."
lo_s01_e05,1,5,Happily Ever After,,Classic Law & Order format with clear investigation pivot from Willie Tivnan to Janet Ralston and Gil Himes,Y,Y,N,"Alan Ralston is murdered in a parking garage. Willie Tivnan, a Black man with a criminal record, is arrested after his fingerprints are found on a crack pipe at the scene and Janet Ralston identifies him. However, detectives discover evidence pointing to Janet Ralston and her lover Gil Himes as the actual killers who planned the murder for insurance money. Willie is eventually cleared, but only after being publicly accused, arrested, and held on $100,000 bail."
lo_s01_e06,1,6,Everybody's Favorite Bagman,,"Full transcript available. Episode involves a conspiracy to murder Charles Halsey, who was serving as a bagman for corrupt officials. Two young black men initially accused.",Y,Y,N,"Councilman Charles Halsey is stabbed and later dies. Two black teenagers (Simonize Jackson and Tremaine Lewis) are initially arrested for the attack after being found with his possessions. They confess to robbery but claim Halsey was already wounded when they arrived. Investigation reveals Halsey was a bagman in a municipal corruption scheme. Anthony Scalisi (mob enforcer) actually stabbed Halsey on orders from corrupt officials (Deputy Commander Jefferson, Borough President Conti, Councilman Van Damme). The two teenagers were innocent of the stabbing, only guilty of robbery of an already-wounded man."
lo_s01_e07,1,7,"By Hooker, by Crook",,Transcript appears complete with full courtroom and detective scenes.,N,N,N,"Irv Diamond dies after a heart attack while with prostitute Jolene Curtis. Driver Cookie Molina removes Diamond from the hotel, dumps him in Central Park, and hits him with a bat to fake a mugging. Investigation leads to Laura Winthrop's high-end prostitution ring 'Poppy Escorts.' Jolene is HIV-positive, raising reckless endangerment concerns. Cookie testifies against Winthrop in exchange for a walk. Winthrop ultimately pleads to involuntary manslaughter. No person was falsely accused then cleared - Diamond's death investigation correctly identified those responsible (Cookie, Jolene, Winthrop). The case focused on prosecuting the actual perpetrators of the prostitution ring and Diamond's death."
lo_s01_e08,1,8,Poison Ivy,,Transcript provided,Y,Y,N,"Officer Freddo Parisi shoots Tommy Richardson, a Princeton student, claiming self-defense during a drug deal. Investigation reveals Richardson never had a gun—Parisi planted his weapon after the shooting. Silky Ford, who sold the gun, is initially misidentified but protected by Parisi's threats. Partner Davis covers for Parisi until confronted with evidence. Richardson is publicly portrayed as a drug dealer during investigation/trial, destroying his reputation as a community hero. Parisi commits suicide before verdict."
lo_s01_e09,1,9,Indifference,,"Transcript of Law & Order S1E9. Episode focuses on child abuse case involving Dierdre 'Didi' Lowenstein. Both parents are accused and tried; mother Carla confesses and pleads to manslaughter, testifies against husband Jacob who is convicted of murder.",N,N,N,"No qualifying persons found. Both Carla and Jacob Lowenstein were accused of murdering their daughter Didi, and both were ultimately convicted (Carla of manslaughter via plea, Jacob of murder). Neither was proven or strongly implied innocent. The episode's focus is on the tragic death of an abused child and the prosecution of both parents responsible for her death. No false suspects or wrongly accused individuals appear in the transcript."
lo_s01_e10,1,10,Prisoner of Love,,Transcript analyzed for false accusation patterns,N,N,N,"Artist Victor More dies during a sexual asphyxiation session. Commissioner Henry Rothman is charged with manslaughter after his fingerprint is found on a Polaroid taken during More's death. Evidence shows Elizabeth Hendrick, a wealthy patron, was present and ordered Rothman not to save More. Rothman initially testifies against Hendrick, then recants under her influence and commits suicide. Hendrick is ultimately arrested based on Polaroids Rothman left behind. No individuals were falsely accused and later proven innocent; the investigation correctly identified the perpetrators."
lo_s01_e11,1,11,Out of the Half-Light,,Transcript shows a 16-year-old girl claims to have been raped by white police officers. Investigation reveals she fabricated the story to get permission for an abortion (she was pregnant by boyfriend Jordan Hill). Congressman Eaton uses the case for political purposes. FBI rape kit comes back negative. Girl and mother eventually admit the hoax.,Y,Y,N,"Astrea Crawford, 16, claims white police officers raped her and wrote racial slurs on her body. Two uniformed officers (Teal and Rudolph) are publicly named by Congressman Eaton. Investigation reveals the rape never occurred - Astrea fabricated the story because she was pregnant by boyfriend Jordan Hill and wanted an abortion but feared her father's reaction. FBI rape kit negative. Officers Teal and Rudolph are cleared with substantiated alibis. Case becomes politically charged with Congressman Eaton using it to attack the justice system, despite knowing or suspecting it was false."
lo_s01_e12,1,12,Life Choice,,Abortion clinic bombing; Mary Donovan dies delivering bomb she thought would be set at night; revealed she was actually seeking abortion,Y,Y,N,"Anti-abortion activists Rose Schwimmer and Celeste McClure conspire to bomb Chelsea Women's Choices clinic. Mary Donovan, believing she's delivering a bomb for the cause, dies in the explosion. Investigation reveals Mary was actually pregnant and seeking an abortion under a false ID provided by her boyfriend Patrick Dunn. Patrick is briefly arrested as co-conspirator based on fingerprints on the fake ID, but he was actually helping Mary get an abortion, not plant a bomb. The episode explores the abortion debate while prosecuting Schwimmer and McClure for murder."
lo_s01_e13,1,13,A Death in the Family,,Full transcript provided,Y,Y,N,"Officer Rennick, a corrupt cop who was skimming money from drug busts and killed dealer Ricky Powers, attempts to murder his partner Officer Sandoval on a rooftop to silence her. She kills him in self-defense. Brutus Walker is initially suspected of killing Rennick but is later cleared. A 15-year-old girl, Ravina Price, is briefly suspected when her fingerprints are found on the murder weapon. The episode explores police corruption and the breakdown of the partner bond."
lo_s01_e14,1,14,The Violence of Summer,,Full transcript provided,Y,Y,N,"Three young men (Metzler, Hanauer, and Ryan Cutrona) are accused of gang-raping reporter Monica DeVries. The case is dismissed due to victim's repressed memory and lack of DNA match. Investigation reveals a fourth perpetrator, Timothy Pruiting, who actually committed the rape while the three younger defendants primarily held the victim. Ryan Cutrona, the youngest and most reluctant participant, eventually testifies against Pruiting. The three younger men are re-arrested for rape (holding/accessory roles), but they are factually less culpable than initially accused of being the primary rapists."
lo_s01_e15,1,15,The Torrents of Greed: Part 1,,This is Part 1 of a two-part episode. Resolution likely occurs in Part 2.,Y,Y,N,"Isaac Skolnick is brutally beaten in his candy store over a bootlegged cigarette conspiracy. Edgar Hoover, a homeless man, is initially accused but later cleared when the real attacker (Joe Pilefsky) is identified. Hoover dies shortly after. The case expands into organized crime involving the Masucci family. Harvey Beigal cuts a deal to testify about a separate murder (Russell Mackey), which allows him to walk on the Skolnick assault conspiracy despite being the one who ordered it. The Mackey case collapses due to perjured testimony from Pilefsky (part of Masucci's strategy), and Beigal's plea bargain stands despite the outcome."
lo_s01_e16,1,16,The Torrents of Greed: Part 2,,Transcript appears complete. This is Part 2 of a multi-part episode dealing with organized crime.,Y,Y,N,"Following a failed prosecution of mob boss Frank Masucci for murder (set up via perjured testimony in Part 1), Stone pursues various members of the Masucci crime family. Laurel McGinty, a buildings inspector, is accused of bribery and threatened with prosecution to flip on Harvey Beigal (Masucci's brother-in-law). She is proven innocent of the primary crime narrative (the murders) but guilty of the bribery she's accused of. Joe Pilefsky is coerced through threats and a staged prison incident into cooperating. The episode culminates with Masucci being murdered, orchestrated by his own sister Katherine Beigal."
lo_s01_e17,1,17,Mushrooms,,Transcript provided,Y,Y,N,"An 11-month-old baby is killed and his 12-year-old brother critically wounded in a drive-by shooting. Police initially suspect the older brother Gregory Winters of drug dealing, but he is proven innocent. The real crime was a botched contract killing by drug dealer Michael Ingrams against real estate agent Ned Kay, who stole $300,000 from him. The 14-year-old hit man went to the wrong apartment (315 Jacobs Place instead of 315 Jameson Place)."
